Distribuzione;M_Tabelle;N_Utenti;p;Runs;Throughput;Wait_Time;Avg_Util_%;Max_Util_%;Max_Queue
Lognormal;1;50;0,3;5;2,5;0,1148;24,73;24,73;4,0
Lognormal;1;100;0,3;5;5,01;0,1423;48,62;48,62;8,0
Lognormal;1;150;0,3;5;7,5;0,2103;71,39;71,39;15,0
Lognormal;1;200;0,3;5;10,01;0,6253;92,36;92,36;40,0
Lognormal;1;300;0,3;5;11,0;979,7047;100,0;100,0;40158,0
Lognormal;1;400;0,3;5;11,0;1237,5001;100,0;100,0;90236,0
Lognormal;1;50;0,5;5;2,5;0,1118;24,22;24,22;4,0
Lognormal;1;100;0,5;5;5,01;0,1314;46,49;46,49;8,0
Lognormal;1;150;0,5;5;7,5;0,1696;66,39;66,39;12,0
Lognormal;1;200;0,5;5;10,01;0,2677;83,22;83,22;25,0
Lognormal;1;300;0,5;5;13,34;500,4256;100,0;100,0;16777,0
Lognormal;1;400;0,5;5;13,34;1114,5245;100,0;100,0;66849,0
Lognormal;1;50;0,8;5;2,5;0,1053;23,1;23,1;4,0
Lognormal;1;100;0,8;5;5,01;0,1126;42,43;42,43;6,0
Lognormal;1;150;0,8;5;7,5;0,1221;58,01;58,01;9,0
Lognormal;1;200;0,8;5;10,01;0,1358;70,47;70,47;12,0
Lognormal;1;300;0,8;5;15,01;0,1808;86,74;86,74;23,0
Lognormal;1;400;0,8;5;20,02;0,2867;95,09;95,09;48,0
Lognormal;2;50;0,3;5;2,5;0,1064;12,44;12,48;3,0
Lognormal;2;100;0,3;5;5,01;0,1148;24,72;24,79;5,0
Lognormal;2;150;0,3;5;7,5;0,126;36,77;36,94;7,0
Lognormal;2;200;0,3;5;10,01;0,1425;48,62;48,73;10,0
Lognormal;2;300;0,3;5;15,01;0,2102;71,33;71,53;16,0
Lognormal;2;400;0,3;5;20,02;0,6274;92,35;92,58;50,0
Lognormal;2;50;0,5;5;2,5;0,1052;12,32;12,36;3,0
Lognormal;2;100;0,5;5;5,01;0,1118;24,21;24,27;5,0
Lognormal;2;150;0,5;5;7,5;0,1202;35,61;35,76;6,0
Lognormal;2;200;0,5;5;10,01;0,1316;46,48;46,58;9,0
Lognormal;2;300;0,5;5;15,01;0,1694;66,31;66,47;14,0
Lognormal;2;400;0,5;5;20,02;0,2673;83,16;83,32;25,0
Lognormal;2;50;0,8;5;2,5;0,1024;12,03;12,06;3,0
Lognormal;2;100;0,8;5;5,01;0,1053;23,09;23,15;4,0
Lognormal;2;150;0,8;5;7,5;0,1086;33,16;33,3;6,0
Lognormal;2;200;0,8;5;10,01;0,1126;42,38;42,46;6,0
Lognormal;2;300;0,8;5;15,01;0,1223;58,05;58,18;9,0
Lognormal;2;400;0,8;5;20,02;0,1357;70,41;70,5;13,0
Lognormal;3;50;0,3;5;2,5;0,1041;8,32;8,94;3,0
Lognormal;3;100;0,3;5;5,01;0,1089;16,56;17,79;4,0
Lognormal;3;150;0,3;5;7,5;0,1151;24,71;26,48;5,0
Lognormal;3;200;0,3;5;10,01;0,122;32,78;35,22;6,0
Lognormal;3;300;0,3;5;15,01;0,1426;48,6;52,09;9,0
Lognormal;3;400;0,3;5;20,02;0,1803;63,93;68,45;14,0
Lognormal;3;50;0,5;5;2,5;0,1034;8,26;8,88;3,0
Lognormal;3;100;0,5;5;5,01;0,1072;16,33;17,52;4,0
Lognormal;3;150;0,5;5;7,5;0,112;24,18;25,88;5,0
Lognormal;3;200;0,5;5;10,01;0,1172;31,86;34,15;6,0
Lognormal;3;300;0,5;5;15,01;0,1316;46,46;49,61;9,0
Lognormal;3;400;0,5;5;20,02;0,154;59,99;63,89;12,0
Lognormal;3;50;0,8;5;2,5;0,1016;8,13;8,72;3,0
Lognormal;3;100;0,8;5;5,01;0,1033;15,82;16,94;4,0
Lognormal;3;150;0,8;5;7,5;0,1053;23,04;24,56;5,0
Lognormal;3;200;0,8;5;10,01;0,1075;29,92;31,92;5,0
Lognormal;3;300;0,8;5;15,01;0,1125;42,36;44,95;7,0
Lognormal;3;400;0,8;5;20,02;0,1186;53,17;56,16;9,0
Lognormal;5;50;0,3;5;2,5;0,1024;5,0;6,16;2,0
Lognormal;5;100;0,3;5;5,01;0,1051;9,97;12,32;3,0
Lognormal;5;150;0,3;5;7,5;0,1082;14,9;18,32;4,0
Lognormal;5;200;0,3;5;10,01;0,1115;19,81;24,49;4,0
Lognormal;5;300;0,3;5;15,01;0,1199;29,54;36,41;6,0
Lognormal;5;400;0,3;5;20,02;0,1309;39,14;48,19;8,0
Lognormal;5;50;0,5;5;2,5;0,102;4,98;6,13;2,0
Lognormal;5;100;0,5;5;5,01;0,1042;9,88;12,2;3,0
Lognormal;5;150;0,5;5;7,5;0,1066;14,71;18,04;4,0
Lognormal;5;200;0,5;5;10,01;0,1092;19,48;23,99;4,0
Lognormal;5;300;0,5;5;15,01;0,1156;28,77;35,25;5,0
Lognormal;5;400;0,5;5;20,02;0,1235;37,75;46,06;7,0
Lognormal;5;50;0,8;5;2,5;0,101;4,93;6,06;2,0
Lognormal;5;100;0,8;5;5,01;0,102;9,69;11,92;3,0
Lognormal;5;150;0,8;5;7,5;0,103;14,28;17,4;4,0
Lognormal;5;200;0,8;5;10,01;0,1042;18,74;22,89;4,0
Lognormal;5;300;0,8;5;15,01;0,1068;27,15;32,87;5,0
Lognormal;5;400;0,8;5;20,02;0,1097;34,96;42,02;7,0
Lognormal;10;100;0,3;5;5,01;0,1029;4,99;8,67;3,0
Lognormal;10;500;0,3;5;25,01;0,1198;24,62;42,61;7,0
Lognormal;10;1000;0,3;5;50,01;0,1855;48,13;81,85;24,0
Lognormal;10;1200;0,3;5;59,99;0,3828;57,05;96,0;80,0
Lognormal;10;1500;0,3;5;71,77;183,9877;67,44;100,0;20900,0
Lognormal;10;1600;0,3;5;75,08;247,7218;70,35;100,0;29620,0
Lognormal;10;2000;0,3;5;85,95;478,0741;79,78;100,0;64442,0
Lognormal;10;2500;0,3;5;94,43;728,0874;87,08;100,0;107993,0
Lognormal;10;3000;0,3;5;100,1;872,9389;91,94;100,0;151751,0
Lognormal;10;3500;0,3;5;104,0;954,4086;95,22;100,0;195448,0
Lognormal;10;4000;0,3;5;106,71;996,7532;97,46;100,0;239205,0
Lognormal;10;5000;0,3;5;109,67;1019,8107;99,83;100,0;326545,0
Lognormal;10;100;0,5;5;5,01;0,1023;4,97;8,62;3,0
Lognormal;10;500;0,5;5;25,01;0,1155;24,01;40,99;6,0
Lognormal;10;1000;0,5;5;50,01;0,1518;45,53;74,95;17,0
Lognormal;10;1200;0,5;5;59,99;0,1886;53,25;85,94;36,0
Lognormal;10;1500;0,5;5;74,95;0,6688;63,69;98,95;160,0
Lognormal;10;1600;0,5;5;79,33;37,797;66,62;99,99;6260,0
Lognormal;10;2000;0,5;5;92,97;276,9334;75,81;100,0;41051,0
Lognormal;10;2500;0,5;5;105,86;511,3278;83,99;100,0;84599,0
Lognormal;10;3000;0,5;5;114,14;715,6679;89,19;100,0;128356,0
Lognormal;10;3500;0,5;5;119,86;851,6754;92,74;100,0;172055,0
Lognormal;10;4000;0,5;5;124,23;931,3892;95,31;100,0;215816,0
Lognormal;10;5000;0,5;5;130,13;1001,7222;98,5;100,0;303159,0
Lognormal;10;100;0,8;5;5,01;0,1011;4,91;8,47;3,0
Lognormal;10;500;0,8;5;25,01;0,1067;22,71;37,77;6,0
Lognormal;10;1000;0,8;5;50,01;0,1168;41,02;64,47;10,0
Lognormal;10;1200;0,8;5;59,99;0,1223;47,18;72,37;13,0
Lognormal;10;1500;0,8;5;74,95;0,1328;55,27;81,53;19,0
Lognormal;10;1600;0,8;5;79,95;0,137;57,69;84,04;22,0
