Distribuzione;N_Utenti;Prob_Read (p);Throughput (req/s);Wait_Time (s);Utilization (%)
Lognormal;100;0,3;5,01;0,1021;2,5
Lognormal;500;0,3;25,01;0,1137;12,36
Lognormal;1000;0,3;50,01;0,1464;24,35
Lognormal;1500;0,3;74,73;15,2471;35,64
Lognormal;2000;0,3;92,38;292,475;43,67
Lognormal;2500;0,3;106,5;478,7682;50,06
Lognormal;3000;0,3;118,55;592,1959;55,44
Lognormal;3500;0,3;127,34;703,9095;59,43
Lognormal;100;0,5;5,01;0,1017;2,49
Lognormal;500;0,5;25,01;0,1108;12,14
Lognormal;1000;0,5;50,01;0,1318;23,41
Lognormal;1500;0,5;74,95;0,2023;33,52
Lognormal;2000;0,5;97,63;105,0676;41,86
Lognormal;2500;0,5;114,23;322,7972;48,07
Lognormal;3000;0,5;128,36;469,8957;53,24
Lognormal;3500;0,5;140,87;563,137;57,65
Lognormal;100;0,8;5,01;0,1008;2,47
Lognormal;500;0,8;25,01;0,1048;11,65
Lognormal;1000;0,8;50,01;0,1115;21,65
Lognormal;1500;0,8;74,95;0,1214;30,09
Lognormal;2000;0,8;99,93;0,1364;37,18
Lognormal;2500;0,8;124,92;0,1611;43,1
Lognormal;3000;0,8;149,96;0,2113;48,09
Lognormal;3500;0,8;174,98;0,4203;52,33
Uniform;100;0,3;4,99;0,1012;2,49
Uniform;500;0,3;24,98;0,1064;12,42
Uniform;1000;0,3;49,91;0,1147;24,65
Uniform;1500;0,3;74,85;0,126;36,68
Uniform;2000;0,3;99,81;0,1421;48,5
Uniform;2500;0,3;124,81;0,1668;60,05
Uniform;3000;0,3;149,79;0,2094;71,24
Uniform;3500;0,3;174,82;0,2998;82,02
Uniform;4000;0,3;199,8;0,6164;92,26
Uniform;5000;0,3;219,77;526,7274;100,0
Uniform;100;0,5;4,99;0,101;2,49
Uniform;500;0,5;24,98;0,1052;12,29
Uniform;1000;0,5;49,91;0,1117;24,14
Uniform;1500;0,5;74,85;0,1201;35,51
Uniform;2000;0,5;99,81;0,1313;46,38
Uniform;2500;0,5;124,81;0,1467;56,65
Uniform;3000;0,5;149,79;0,169;66,25
Uniform;3500;0,5;174,82;0,2043;75,1
Uniform;4000;0,5;199,81;0,2664;83,11
Uniform;5000;0,5;249,86;0,9609;96,39
Uniform;100;0,8;4,99;0,1005;2,47
Uniform;500;0,8;24,98;0,1024;12,0
Uniform;1000;0,8;49,91;0,1052;23,02
Uniform;1500;0,8;74,85;0,1085;33,1
Uniform;2000;0,8;99,81;0,1124;42,28
Uniform;2500;0,8;124,82;0,1169;50,56
Uniform;3000;0,8;149,79;0,1221;57,97
Uniform;3500;0,8;174,82;0,1283;64,55
Uniform;4000;0,8;199,81;0,1355;70,32
Uniform;5000;0,8;249,88;0,1541;79,73
